variable,value,desc,years,n.years,n.values
k7q85_r,3,Not true,"2016,2017",2,7
k7q85_r,3,Sometimes,"2018,2019,2020,2021,2022",5,7
k8q21,4,Not at all,"2016,2017",2,7
k8q21,4,Not well at all,"2018,2019,2020,2021,2022",5,7
k8q30,4,Not at all,"2016,2017",2,7
k8q30,4,Not well at all,"2018,2019,2020,2021,2022",5,7
menbevcov,5,(fill with SC_NAME) does not use mental or behavioral health services,2017,1,7
menbevcov,5,This child does not use mental or behavioral health services,"2016,2018,2019,2020,2021,2022",6,7
metro_yn,1,In Metropolitan Statistical Area,2016,1,7
metro_yn,1,Metropolitan Statistical Area,"2017,2018,2019,2020,2021,2022",6,7
metro_yn,2,Not Metropolitan Statistical Area,"2017,2018,2019,2020,2021,2022",6,7
metro_yn,2,Not in Metropolitan Statistical Area,2016,1,7
mpc_yn,1,In Metropolitan Principal City,2016,1,7
mpc_yn,1,Metropolitan Principal City,"2017,2018,2019,2020,2021,2022",6,7
mpc_yn,2,Not Metropolitan Principal City,"2017,2018,2019,2020,2021,2022",6,7
mpc_yn,2,Not in Metropolitan Principal City,2016,1,7
newactivity,1,All of the time,2016,1,6
newactivity,1,Always,"2017,2018,2019,2020,2021",5,6
newactivity,3,About half the time,"2017,2018,2019,2020,2021",5,6
newactivity,3,Some of the time,2016,1,6
newactivity,4,None of the time,2016,1,6
newactivity,4,Sometimes,"2017,2018,2019,2020,2021",5,6
pesticide,8,Don't know,2019,1,3
pesticide,8,Don’t know,"2017,2018",2,3
planfuture,3,Don't Know,2017,1,2
planfuture,3,Dont Know,2016,1,2
playwell,1,All of the time,2016,1,7
playwell,1,Always,"2017,2018,2019,2020,2021,2022",6,7
playwell,3,About half the time,"2017,2018,2019,2020,2021,2022",6,7
playwell,3,Some of the time,2016,1,7
playwell,4,None of the time,2016,1,7
playwell,4,Sometimes,"2017,2018,2019,2020,2021,2022",6,7
poschoice,3,Don't Know,"2017,2018,2019,2020,2021,2022",6,7
poschoice,3,Dont Know,2016,1,7
recogabc,3,About half of them,"2017,2018,2019,2020,2021,2022",6,7
recogabc,3,Some of them,2016,1,7
recogabc,4,None of them,2016,1,7
recogabc,4,Some of them,"2017,2018,2019,2020,2021,2022",6,7
recogbegin,1,All of the time,2016,1,7
recogbegin,1,Always,"2017,2018,2019,2020,2021,2022",6,7
recogbegin,3,About half the time,"2017,2018,2019,2020,2021,2022",6,7
recogbegin,3,Some of the time,2016,1,7
recogbegin,4,None of the time,2016,1,7
recogbegin,4,Sometimes,"2017,2018,2019,2020,2021,2022",6,7
recshapes,1,All of the time,2016,1,6
recshapes,1,Always,"2017,2018,2019,2020,2021",5,6
recshapes,3,About half the time,"2017,2018,2019,2020,2021",5,6
recshapes,3,Some of the time,2016,1,6
recshapes,4,None of the time,2016,1,6
recshapes,4,Sometimes,"2017,2018,2019,2020,2021",5,6
sc_hispanic_r_if,1,Imputed,"2017,2018,2019,2020,2021,2022",6,7
sc_hispanic_r_if,1,Imputed Value,2016,1,7
sc_race_r_if,1,Imputed,"2017,2018,2019,2020,2021,2022",6,7
sc_race_r_if,1,Imputed Value,2016,1,7
sc_sex_if,1,Imputed,"2017,2018,2019,2020,2021,2022",6,7
sc_sex_if,1,Imputed Value,2016,1,7
simpleinst,1,All of the time,2016,1,6
simpleinst,1,Always,"2017,2018,2019,2020,2021",5,6
simpleinst,3,About half the time,"2017,2018,2019,2020,2021",5,6
simpleinst,3,Some of the time,2016,1,6
simpleinst,4,None of the time,2016,1,6
simpleinst,4,Sometimes,"2017,2018,2019,2020,2021",5,6
sitstill,1,All of the time,2016,1,6
sitstill,1,Always,"2017,2018,2019,2020,2021",5,6
sitstill,3,About half the time,"2017,2018,2019,2020,2021",5,6
sitstill,3,Some of the time,2016,1,6
sitstill,4,None of the time,2016,1,6
sitstill,4,Sometimes,"2017,2018,2019,2020,2021",5,6
sleeppos,1,On his or her side,"2016,2017,2018,2019",4,7
sleeppos,1,On their side,"2020,2021,2022",3,7
sleeppos,2,On his or her back,"2016,2017,2018,2019",4,7
sleeppos,2,On their back,"2020,2021,2022",3,7
sleeppos,3,On his or her stomach,"2016,2017,2018,2019",4,7
sleeppos,3,On their stomach,"2020,2021,2022",3,7
startschool,1,Yes,2016,1,7
startschool,1,"Yes, preschool","2017,2018,2019,2020,2021,2022",6,7
startschool,2,No,2016,1,7
startschool,2,"Yes, kindergarten","2017,2018,2019,2020,2021,2022",6,7
temper,1,All of the time,2016,1,6
temper,1,Always,"2017,2018,2019,2020,2021",5,6
temper,3,About half the time,"2017,2018,2019,2020,2021",5,6
temper,3,Some of the time,2016,1,6
temper,4,None of the time,2016,1,6
temper,4,Sometimes,"2017,2018,2019,2020,2021",5,6
tenure,1,Owned by you or someone in this household with a mortgage or loan?,2018,1,5
tenure,1,Owned by you or someone in this household with a mortgage or loan? Include home equity loans,"2019,2020,2021,2022",4,5
totkids_r,4,4 or more,2016,1,7
totkids_r,4,4+,"2017,2018,2019,2020,2021,2022",6,7
treatneed,1,Not a problem,"2016,2017",2,7
treatneed,1,Not difficult,"2018,2019,2020,2021,2022",5,7
treatneed,2,Small problem,"2016,2017",2,7
treatneed,2,Somewhat difficult,"2018,2019,2020,2021,2022",5,7
treatneed,3,Big problem,"2016,2017",2,7
treatneed,3,Very difficult,"2018,2019,2020,2021,2022",5,7
usepencil,1,Uses fingers,2016,1,6
usepencil,1,Uses fingers to hold the pencil,"2017,2018,2019,2020,2021",5,6
usepencil,2,Grips in fist,2016,1,6
usepencil,2,Grips the pencil in his or her fist,"2017,2018,2019",3,6
usepencil,2,Grips the pencil in their fist,"2020,2021",2,6
usepencil,3,Cannot hold a pencil,2016,1,6
usepencil,3,This child cannot hold a pencil,"2017,2018,2019,2020,2021",5,6
wgtconc,1,"Yes, it's too high","2017,2018,2019,2020,2021,2022",6,7
wgtconc,1,"Yes, its too high",2016,1,7
wgtconc,2,"Yes, it's too low","2017,2018,2019,2020,2021,2022",6,7
wgtconc,2,"Yes, its too low",2016,1,7
worktofin,1,All of the time,2016,1,6
worktofin,1,Always,"2017,2018,2019,2020,2021",5,6
worktofin,3,About half the time,"2017,2018,2019,2020,2021",5,6
worktofin,3,Some of the time,2016,1,6
worktofin,4,None of the time,2016,1,6
worktofin,4,Sometimes,"2017,2018,2019,2020,2021",5,6
writename,1,All of the time,2016,1,7
writename,1,Always,"2017,2018,2019,2020,2021,2022",6,7
writename,3,About half the time,"2017,2018,2019,2020,2021,2022",6,7
writename,3,Some of the time,2016,1,7
writename,4,None of the time,2016,1,7
writename,4,Sometimes,"2017,2018,2019,2020,2021,2022",6,7
